Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,1.00,1.00,1.00
2,0.75,0.77,0.74
3,0.62,0.63,0.59
4,0.93,0.93,0.93
5,0.96,0.96,0.96
6,0.97,0.97,0.97
7,0.86,0.87,0.85
8,0.90,0.91,0.91
9,0.93,0.94,0.94
10,0.93,0.93,0.94
11,0.99,0.99,0.98
12,1.00,1.00,1.00
13,1.00,1.00,1.00
14,0.94,0.94,0.94
15,0.54,0.51,0.49
16,0.48,0.47,0.42
17,0.61,0.60,0.60
18,0.83,0.85,0.84
19,0.07,0.09,0.10
20,1.00,1.00,1.00
