Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.19,0.18,0.17
2,0.19,0.21,0.22
3,0.20,0.21,0.21
4,0.14,0.13,0.08
5,0.04,0.03,0.01
6,0.46,0.50,0.49
7,0.49,0.49,0.44
8,0.00,0.00,0.00
9,0.52,0.55,0.49
10,0.43,0.47,0.42
11,0.16,0.16,0.13
12,0.15,0.18,0.19
13,0.18,0.15,0.15
14,0.06,0.06,0.07
15,0.25,0.25,0.31
16,0.24,0.28,0.27
17,0.49,0.52,0.51
18,0.55,0.50,0.49
19,0.02,0.02,0.01
20,0.22,0.22,0.17
