Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.99,1.00,1.00
2,0.78,0.81,0.71
3,0.54,0.59,0.50
4,0.81,0.88,0.85
5,0.68,0.71,0.70
6,0.95,0.98,0.96
7,0.81,0.86,0.77
8,0.83,0.87,0.84
9,0.97,0.98,0.97
10,0.90,0.95,0.91
11,0.98,0.98,0.96
12,1.00,1.00,0.98
13,0.98,1.00,1.00
14,0.81,0.87,0.81
15,0.44,0.53,0.41
16,0.45,0.48,0.49
17,0.55,0.69,0.56
18,0.92,0.96,0.90
19,0.09,0.10,0.10
20,1.00,1.00,1.00
